pr_id,module,title,controller
PR-PLATFORM-05,PLATFORM,"APIs, jobs, observabilidade e continuidade",docs/requirements/pr-programs/PLATFORM/PR-PLATFORM-05/00_CONTROLLER.md
PR-PURCHASING-01,PURCHASING,Requisições e compras emergenciais,docs/requirements/pr-programs/PURCHASING/PR-PURCHASING-01/00_CONTROLLER.md
PR-PURCHASING-02,PURCHASING,Cotação e pedido de compra,docs/requirements/pr-programs/PURCHASING/PR-PURCHASING-02/00_CONTROLLER.md
PR-PURCHASING-03,PURCHASING,Recebimento de bens e serviços,docs/requirements/pr-programs/PURCHASING/PR-PURCHASING-03/00_CONTROLLER.md
PR-PURCHASING-04,PURCHASING,Fatura e contas a pagar,docs/requirements/pr-programs/PURCHASING/PR-PURCHASING-04/00_CONTROLLER.md
PR-PURCHASING-05,PURCHASING,"Contratos, reposição e análise",docs/requirements/pr-programs/PURCHASING/PR-PURCHASING-05/00_CONTROLLER.md
PR-QA-01,QA,Arquitetura de testes e quality gates,docs/requirements/pr-programs/QA/PR-QA-01/00_CONTROLLER.md
PR-QA-02,QA,Migração e reconciliação,docs/requirements/pr-programs/QA/PR-QA-02/00_CONTROLLER.md
PR-QA-03,QA,"Release, cutover e rollback",docs/requirements/pr-programs/QA/PR-QA-03/00_CONTROLLER.md
PR-QA-04,QA,"Carga, segurança, offline e DR",docs/requirements/pr-programs/QA/PR-QA-04/00_CONTROLLER.md
PR-QA-05,QA,"Hypercare, treinamento e incidentes",docs/requirements/pr-programs/QA/PR-QA-05/00_CONTROLLER.md
PR-SALES-01,SALES,"Preço, catálogo e margem",docs/requirements/pr-programs/SALES/PR-SALES-01/00_CONTROLLER.md
PR-SALES-02,SALES,Orçamento e desconto,docs/requirements/pr-programs/SALES/PR-SALES-02/00_CONTROLLER.md
PR-SALES-03,SALES,"Pedido, reserva e disponibilidade",docs/requirements/pr-programs/SALES/PR-SALES-03/00_CONTROLLER.md
PR-SALES-04,SALES,"Faturamento, pagamento e liberação",docs/requirements/pr-programs/SALES/PR-SALES-04/00_CONTROLLER.md
PR-SALES-05,SALES,"Entrega, devolução e comissão",docs/requirements/pr-programs/SALES/PR-SALES-05/00_CONTROLLER.md
PR-TREASURY-01,TREASURY,Contas bancárias e posição de caixa,docs/requirements/pr-programs/TREASURY/PR-TREASURY-01/00_CONTROLLER.md
PR-TREASURY-02,TREASURY,Pagamentos e terceiros pagadores,docs/requirements/pr-programs/TREASURY/PR-TREASURY-02/00_CONTROLLER.md
PR-TREASURY-03,TREASURY,Recebimentos e meios de pagamento,docs/requirements/pr-programs/TREASURY/PR-TREASURY-03/00_CONTROLLER.md
PR-TREASURY-04,TREASURY,"Câmbio, empréstimos e aportes",docs/requirements/pr-programs/TREASURY/PR-TREASURY-04/00_CONTROLLER.md
PR-TREASURY-05,TREASURY,Conciliação e previsão de caixa,docs/requirements/pr-programs/TREASURY/PR-TREASURY-05/00_CONTROLLER.md
